time,open,high,low,close,Volume,Volume MA,%K,%D,RSI
1288742400,0.19389309,0.26425961,0.13,0.1931,61472.627,26578.39375,59.14349811083575,83.59398042287795,78.42429268406075
1288828800,0.19889482,0.23601,0.1934,0.23,29698.431,26831.148600000004,80.32974294424845,78.26205728396201,84.50359170801129
1288915200,0.2101,0.26039,0.2101,0.26039,36622.072,28348.016800000005,97.77825190054685,79.08383098521035,87.60194558504902
1289001600,0.262,0.49,0.24031,0.38,32756.129,29074.713700000004,72.49381110749918,83.5339353174315,93.28915096043796
1289088000,0.43436256,0.4399,0.3002,0.34,77218.719,31652.39530000001,62.49156060113526,77.58787453639378,80.06245264083313
1289174400,0.3459,0.36796109,0.24243853,0.243,118203.827,37250.831650000015,31.388888888888886,55.45808686584113,58.42829655392542
1289260800,0.251,0.32297265,0.2,0.21568652,47983.393,38057.25130000002,23.801811111111107,39.22742020037844,54.00322073375707
1289347200,0.21000625,0.235271,0.14045455,0.23266833,30387.028,37333.25270000002,28.518980555555558,27.90322685185187,56.22312318029076
1289433600,0.2299,0.24,0.21300769,0.2231,5031.88,35854.65125000002,25.861111111111107,26.060634259259274,54.62348155995698
1289520000,0.2289,0.27973381,0.22301423,0.2682,40720.385,37669.49705000002,38.388888888888886,30.922993518518535,60.34983105418829
1289606400,0.28598775,0.2999942,0.2683,0.276,21915.573,38075.26420000002,40.555555555555564,34.9351851851852,61.260383040246126
1289692800,0.276,0.299,0.2702,0.27904,16844.327,37402.498800000016,41.4,40.11481481481483,61.63022199636135
1289779200,0.27904,0.2828,0.2682,0.2682,8507.74,36866.929550000015,38.388888888888886,40.11481481481483,59.450731803293124
1289865600,0.2683,0.275,0.22411905,0.22411905,33931.012,35283.18655000002,26.14418055555555,35.31102314814816,51.47828541834171
1289952000,0.223,0.28562776,0.2116,0.24297713,32871.602,35850.51490000002,29.330257338494896,31.28777559431312,54.301644925792445
1290038400,0.2221,0.28185714,0.2221,0.2678,37446.671,36288.505850000016,36.43172869222013,30.635388862090206,57.78380204387596
1290124800,0.2683,0.28,0.2682,0.27692909,2157.562,35060.93695000002,39.04343197715776,34.93513933595761,59.0205303690442
1290211200,0.27999523,0.29,0.26825,0.28407491,14652.694,33776.683850000016,47.96211129606411,41.14575732181401,60.008119459043655
1290297600,0.27631,0.28054545,0.27631,0.27675,765,32752.00330000002,59.90836571115714,48.97130299479301,58.45304219002584
1290384000,0.27679,0.28479187,0.269,0.28479187,28205.85,33869.626100000016,79.0810993539819,62.31719212040107,59.68817554218333
1290470400,0.28210085,0.28449,0.27808895,0.28295,4856.923,31038.840900000017,89.3166369614074,76.10203400884882,59.253688707982356
1290556800,0.28295,0.28295145,0.2761,0.28295145,2514.912,29679.664950000017,80.7196060375002,83.03911411762984,59.25394016725021
1290643200,0.2825,0.2825,0.278,0.28,1679.595,27932.541100000013,77.3806426213485,82.47229520675204,58.46305583625726
1290729600,0.27802772,0.28663807,0.27659667,0.2844,33531.876,27971.32845000002,82.3583447782773,80.15286447904201,59.33446899548209
1290816000,0.2844,0.2844,0.28255,0.283,1825.388,24201.661900000017,81.69336384439357,80.47745041467313,58.91097638712394
1290902400,0.283,0.28461,0.27107203,0.27107203,20802.126,19331.57685000002,75.85718112244902,79.96962991503996,55.290134139721246
1290988800,0.279,0.279,0.22109,0.23047273,35055.403,18685.17735000002,24.07235969387753,60.54096822024004,45.123965062343565
1291075200,0.2299,0.2299,0.20420986,0.2082,21476.251,18239.63850000002,4.651047311497573,34.86019604260804,40.702461777724
1291161600,0.2095,0.2279,0.2095,0.2275,8157.894,18395.939200000015,27.14780509741565,18.62373736759691,45.670311528792034
1291248000,0.228,0.255,0.218,0.255,20312.234,17375.531650000015,59.20277085455277,30.333874421155326,51.85910534247588
1291334400,0.25,0.2552,0.243,0.25105,2570.345,16408.270250000016,54.59851213670943,46.983029362892616,50.96114519376136
1291420800,0.255,0.25880808,0.205,0.20583222,28560.716,16994.08970000002,1.968209669966164,38.58983088707612,41.996349294084084
1291507200,0.22,0.23460258,0.19412988,0.19952381,5740.175,16855.711450000017,5.8307594170851145,20.799160407920233,40.914968123681376
1291593600,0.225,0.225,0.185,0.204,4319.255,15375.123600000017,18.69378275286021,8.830917279970492,42.055101745907365
1291680000,0.1938,0.24713095,0.1701,0.23706199,24592.915,14961.189250000016,57.45932638149919,27.32795618381483,49.76563410889936
1291766400,0.24,0.24,0.22,0.2388,3430.41,13260.376200000017,58.950693108269256,45.034600747542875,50.14122815590922
1291852800,0.226,0.23,0.184176,0.18524613,21336.327,14219.314450000016,12.996722873478172,43.135580787748864,40.173784417797215
1291939200,0.20027369,0.20399072,0.18260622,0.20399072,1684.254,13570.892450000018,29.596297266614265,33.847904416120564,44.34410789466988
1292025600,0.204,0.22788382,0.1907,0.22788382,5788.686,13822.076750000017,50.461811195528774,31.018277111873733,49.20463669463774
1292112000,0.208,0.2279,0.208,0.21980833,1963.558,12509.962150000016,45.64584940312212,41.90131928842172,47.68874108049088
1292198400,0.2100497,0.2299,0.2100497,0.2299,6415.59,12587.895500000015,67.41212299939306,54.50659453268131,49.77128502649867
1292284800,0.22890925,0.24669,0.21093,0.24669,10388.097,12981.554750000014,86.33937291845342,66.46578177365619,53.11554631438687
1292371200,0.24553222,0.2459,0.23800267,0.23927862,3684.68,13081.809000000014,77.98457592589085,77.24535728124577,51.48598673727264
1292457600,0.23801,0.25175658,0.22221,0.24996,14355.331,12122.981750000015,90.02562111591187,84.78318998675205,53.691076357895255
1292544000,0.249,0.249,0.24,0.24,525.513,12057.988000000016,78.79778256952467,82.26932653710912,51.34741797453844
1292630400,0.2487,0.24881,0.241,0.241,169.109,11026.337150000016,86.82705055734637,85.21681808092762,51.57596654213225
1292716800,0.248,0.2499,0.24,0.2401,2000.757,9373.604850000016,85.72487361092027,83.78323557926376,51.34220432711666
1292803200,0.2401,0.27086725,0.24007945,0.267,10682.705,8833.927550000017,96.16219555460728,89.57137324095795,57.537063231568425
1292889600,0.26,0.267,0.24,0.24,9225.789,8887.322300000016,65.0273172656154,82.30479547704765,50.57678816848887
1292976000,0.244,0.25,0.244,0.25,3800.458,8061.733500000017,76.35734593172093,79.18228625064786,52.85170549535899
1293062400,0.24739765,0.25,0.24109194,0.24851705,8650.148,8365.723650000016,74.67715933068081,72.02060750933903,52.466028234820726
1293148800,0.25,0.25,0.2423195,0.248,5033.249,7189.350300000017,71.4755713835762,74.1700255486593,52.32266242911936
1293235200,0.2475,0.25,0.2475,0.2499,703,6937.491550000018,66.64837415347421,70.93370162257706,52.832713920084856
1293321600,0.2499,0.2642,0.24639,0.2642,16584.97,7550.777300000018,89.03729268936348,75.72041274213795,56.59625251625925
1293408000,0.251,0.27,0.251,0.265,4935.49,6567.906050000017,90.2110123504165,81.96555973108471,56.803905702451004
1293494400,0.264,0.28057762,0.26143992,0.28057762,15438.708,7168.320950000018,100,93.0827683465933,60.74240574908223
1293580800,0.271,0.301,0.271,0.29974323,18609.144,7031.961800000016,98.40491179083645,96.2053080470843,64.97381851835567
1293667200,0.291,0.3,0.291,0.3,2539.873,7074.742750000017,98.36065573770492,98.9218558428471,65.0282043732984
1293753600,0.3,0.3,0.292,0.3,1453.719,6857.994400000018,98.36065573770492,98.3754077554154,65.0282043732984
1293840000,0.292,0.3,0.292,0.3,2821.243,6900.878650000018,98.36065573770492,98.36065573770487,65.0282043732984
1293926400,0.29459,0.29997,0.29322306,0.29997,5352.108,6847.704550000019,98.3114754098361,98.34426229508195,65.01347353167519
